id,Conservanc,GrazingBlo,Longitude,Latitude
54,Sera,Lekaudah,37.6201587187,0.9775911142
55,Sera,Sirafa olkanjao,37.7104845272,0.9199680879
56,Sera,Kapuru,37.8784450646,0.8979649804
57,Sera,Lsolei,37.7857836349,0.8716330708
58,Sera,Ntilal,37.7021445615,0.827342031
59,Sera,Lbaa Lolgoto,37.9635931785,0.8109935678
60,Sera,Lrafa Lkuasi,37.611808876,0.7825049011
61,Sera,Dakapor,38.0186865764,0.8524669687
62,Sera,Mpasiin,37.8211473461,0.7706794867
63,Sera,Mt Kamanga,37.7760111609,0.7081431346
64,Sera,Mt Kamanga,37.8132506757,0.712142271
65,Sera,Kumining,37.8672909135,1.4205151033
66,Sera,NooLkunono,37.7883085543,1.3685739325
67,Sera,Lesukud,37.7380798735,1.3663358492
68,Sera,Turgung,37.9167049824,1.2811445874
69,Sera,Seepi,37.9168848558,1.2208144292
70,Sera,Sere-olipi,37.6094123467,1.1300896488
71,Sera,Namparpar,37.6756610401,1.1253153283
72,Sera,Ntabasi,37.6121852861,1.0676071559
73,Sera,Sere-rongai,37.6188841865,1.0235218367
74,Sera,Kom,38.0039736151,0.9447012487
75,Sera,Ndardo Murto,37.6210903106,0.8907161074
76,Sera,Kamanga,37.8888691675,0.8077543243
77,Sera,Laresoro,37.726781744,0.7355792661
78,Sera,Lpus Lenkweny,37.899559936,1.3864975572
79,Sera,Nalmayo,37.7366695672,1.2319530028
80,Nasuulu,EWASO,37.4729911199,0.5575315987
81,Nasuulu,NGARE NDARE,37.4030072312,0.5160110645
82,Nasuulu,NASIPA,37.459486111,0.5209408968
83,Nasuulu,HOTEL5,37.566646237,0.4634781116
84,Nasuulu,LOWALENGISHU,37.4712816657,0.4776184488
85,Nasuulu,EMEKUWI,37.5245242095,0.4585566474
86,Nasuulu,LMD,37.5220096306,0.4034793238
87,Oldonyiro,Settlement,37.0684410088,0.6740401507
88,Oldonyiro,Ngutuk Ekenyua,36.9563015173,0.7271909302
89,Oldonyiro,Tuale,37.0535239235,0.7540526954
90,Oldonyiro,Longopito,37.1703869397,0.7286691829
91,Oldonyiro,Lchurai,37.0927303372,0.6625376017
92,Oldonyiro,Naramat,36.9724146487,0.5861579315
93,Oldonyiro,Lentile,37.0250119085,0.5766999741
94,Oldonyiro,Settlement,37.3414129865,0.5899210955
95,Oldonyiro,Ngarendare,37.3838222653,0.5667931264
96,Oldonyiro,Lodomoru,37.3675619927,0.5362024233
97,Oldonyiro,Noloroi,37.3403312568,0.5352648635
98,Oldonyiro,Noombilin,37.3117423451,0.5344524568
99,Oldonyiro,Kisogon,37.281108734,0.5521507891
100,Oldonyiro,B.Z,37.2935898886,0.530004255
101,Oldonyiro,Settlement,37.089561226,0.5574374627
102,Oldonyiro,Loruko enyike,37.1174183398,0.5577888041
103,Oldonyiro,Konga,37.1464007124,0.553832504
104,Oldonyiro,Sieku,37.1758660488,0.5447702304
105,Oldonyiro,Ndonyio Kawalash,37.1877338898,0.5711860328
106,Oldonyiro,Settlement,37.1815731911,0.5900835836
